ApproxNeuraLCBV2-net has 801 parameters.
start
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 1000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 0.00100, score = -0.49994
sigma = 100000.00000, lambda = 0.01000, score = -0.49994
sigma = 100000.00000, lambda = 0.10000, score = -0.49993
sigma = 100000.00000, lambda = 1.00000, score = -0.49977
sigma = 100000.00000, lambda = 10.00000, score = -0.49408
sigma = 100000.00000, lambda = 100.00000, score = -0.36019
sigma = 100000.00000, lambda = 1000.00000, score = -0.07909
sigma = 100000.00000, lambda = 10000.00000, score = -0.00888
sigma = 100000.00000, lambda = 100000.00000, score = -0.00090
sigma = 100000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 0.00100, score = -0.49994
sigma = 100000000.00000, lambda = 0.01000, score = -0.49994
sigma = 100000000.00000, lambda = 0.10000, score = -0.49993
sigma = 100000000.00000, lambda = 1.00000, score = -0.49977
sigma = 100000000.00000, lambda = 10.00000, score = -0.49408
sigma = 100000000.00000, lambda = 100.00000, score = -0.36019
sigma = 100000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 100000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 100000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 100000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000000000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000000000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000000000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000000000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000000000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 1000000000.00000, score = -0.00000
Found optimal sigma = 10.000, lambda = 1.000.
Optimizing theta...
Approximate alpha-relative PE-divergence = 0.16
Approximate alpha-relative KL-divergence = -0.01
RuLSIF completed.
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 0.00100, lambda = 0.01000, score = 0.00000
sigma = 0.00100, lambda = 0.10000, score = 0.00000
sigma = 0.00100, lambda = 1.00000, score = 0.00000
sigma = 0.00100, lambda = 10.00000, score = -0.00000
sigma = 0.00100, lambda = 100.00000, score = 0.00000
sigma = 0.00100, lambda = 1000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000000.00000, score = 0.00000
sigma = 0.01000, lambda = 0.00100, score = -0.00000
sigma = 0.01000, lambda = 0.01000, score = -0.00000
sigma = 0.01000, lambda = 0.10000, score = -0.00000
sigma = 0.01000, lambda = 1.00000, score = -0.00000
sigma = 0.01000, lambda = 10.00000, score = -0.00000
sigma = 0.01000, lambda = 100.00000, score = -0.00000
sigma = 0.01000, lambda = 1000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000000.00000, score = -0.00000
sigma = 0.10000, lambda = 0.00100, score = -0.97499
sigma = 0.10000, lambda = 0.01000, score = -0.16850
sigma = 0.10000, lambda = 0.10000, score = -0.01769
sigma = 0.10000, lambda = 1.00000, score = -0.00178
sigma = 0.10000, lambda = 10.00000, score = -0.00018
sigma = 0.10000, lambda = 100.00000, score = -0.00002
sigma = 0.10000, lambda = 1000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 225.48669
sigma = 1.00000, lambda = 0.01000, score = 3.72140
sigma = 1.00000, lambda = 0.10000, score = -0.37857
sigma = 1.00000, lambda = 1.00000, score = -0.50022
sigma = 1.00000, lambda = 10.00000, score = -0.39764
sigma = 1.00000, lambda = 100.00000, score = -0.10354
sigma = 1.00000, lambda = 1000.00000, score = -0.01210
sigma = 1.00000, lambda = 10000.00000, score = -0.00123
sigma = 1.00000, lambda = 100000.00000, score = -0.00012
sigma = 1.00000, lambda = 1000000.00000, score = -0.00001
sigma = 1.00000, lambda = 10000000.00000, score = -0.00000
sigma = 1.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10.00000, lambda = 0.00100, score = 183.19921
sigma = 10.00000, lambda = 0.01000, score = 1.82892
sigma = 10.00000, lambda = 0.10000, score = -0.50022
sigma = 10.00000, lambda = 1.00000, score = -0.49992
sigma = 10.00000, lambda = 10.00000, score = -0.49400
sigma = 10.00000, lambda = 100.00000, score = -0.35723
sigma = 10.00000, lambda = 1000.00000, score = -0.07750
sigma = 10.00000, lambda = 10000.00000, score = -0.00868
sigma = 10.00000, lambda = 100000.00000, score = -0.00088
sigma = 10.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100.00000, lambda = 0.00100, score = -0.49989
sigma = 100.00000, lambda = 0.01000, score = -0.49994
sigma = 100.00000, lambda = 0.10000, score = -0.49993
sigma = 100.00000, lambda = 1.00000, score = -0.49977
sigma = 100.00000, lambda = 10.00000, score = -0.49408
sigma = 100.00000, lambda = 100.00000, score = -0.36016
sigma = 100.00000, lambda = 1000.00000, score = -0.07907
sigma = 100.00000, lambda = 10000.00000, score = -0.00888
sigma = 100.00000, lambda = 100000.00000, score = -0.00090
sigma = 100.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 0.00100, score = -0.49994
sigma = 100000.00000, lambda = 0.01000, score = -0.49994
sigma = 100000.00000, lambda = 0.10000, score = -0.49993
sigma = 100000.00000, lambda = 1.00000, score = -0.49977
sigma = 100000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 0.00100, score = -0.49994
sigma = 100000000.00000, lambda = 0.01000, score = -0.49994
sigma = 100000000.00000, lambda = 0.10000, score = -0.49993
sigma = 100000000.00000, lambda = 1.00000, score = -0.49977
sigma = 100000000.00000, lambda = 10.00000, score = -0.49408
sigma = 100000000.00000, lambda = 100.00000, score = -0.36019
sigma = 100000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 100000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 100000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 100000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000000000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000000000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000000000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000000000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000000000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 1000000000.00000, score = -0.00000
Found optimal sigma = 0.100, lambda = 0.001.
Optimizing theta...
Approximate alpha-relative PE-divergence = 13.55
Approximate alpha-relative KL-divergence = -3.00
RuLSIF completed.

sigma = 100000.00000, lambda = 100.00000, score = -0.36019
sigma = 100000.00000, lambda = 1000.00000, score = -0.07909
sigma = 100000.00000, lambda = 10000.00000, score = -0.00888
sigma = 100000.00000, lambda = 100000.00000, score = -0.00090
sigma = 100000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000000.00000, lambda = 1.00000, score = -0.49977
