True
0
ApproxNeuraLCBV2-net has 801 parameters.
start
True
0
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 100.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 0.00100, score = -0.49994
sigma = 100000.00000, lambda = 0.01000, score = -0.49994
sigma = 100000.00000, lambda = 0.10000, score = -0.49993
sigma = 100000.00000, lambda = 1.00000, score = -0.49977
sigma = 100000.00000, lambda = 10.00000, score = -0.49408
sigma = 100000.00000, lambda = 100.00000, score = -0.36019
sigma = 100000.00000, lambda = 1000.00000, score = -0.07909
sigma = 100000.00000, lambda = 10000.00000, score = -0.00888
sigma = 100000.00000, lambda = 100000.00000, score = -0.00090
sigma = 100000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 0.00100, score = -0.49994
sigma = 100000000.00000, lambda = 0.01000, score = -0.49994
sigma = 100000000.00000, lambda = 0.10000, score = -0.49993
sigma = 100000000.00000, lambda = 1.00000, score = -0.49977
sigma = 100000000.00000, lambda = 10.00000, score = -0.49408
sigma = 100000000.00000, lambda = 100.00000, score = -0.36019
sigma = 100000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 100000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 100000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 100000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000000000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000000000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000000000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000000000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000000000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 1000000000.00000, score = -0.00000
Found optimal sigma = 10.000, lambda = 0.100.
Optimizing theta...
Approximate alpha-relative PE-divergence = 0.17
Approximate alpha-relative KL-divergence = -0.00
RuLSIF completed.
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 0.00100, lambda = 0.01000, score = 0.00000
sigma = 0.00100, lambda = 0.10000, score = 0.00000
sigma = 0.00100, lambda = 1.00000, score = 0.00000
sigma = 0.00100, lambda = 10.00000, score = -0.00000
sigma = 0.00100, lambda = 100.00000, score = 0.00000
sigma = 0.00100, lambda = 1000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000000.00000, score = 0.00000
sigma = 0.01000, lambda = 0.00100, score = -0.00000
sigma = 0.01000, lambda = 0.01000, score = -0.00000
sigma = 0.01000, lambda = 0.10000, score = -0.00000
sigma = 0.01000, lambda = 1.00000, score = -0.00000
sigma = 0.01000, lambda = 10.00000, score = -0.00000
sigma = 0.01000, lambda = 100.00000, score = -0.00000
sigma = 0.01000, lambda = 1000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000000.00000, score = -0.00000
sigma = 0.10000, lambda = 0.00100, score = 1.96324
sigma = 0.10000, lambda = 0.01000, score = -0.08299
sigma = 0.10000, lambda = 0.10000, score = -0.01441
sigma = 0.10000, lambda = 1.00000, score = -0.00152
sigma = 0.10000, lambda = 10.00000, score = -0.00015
sigma = 0.10000, lambda = 100.00000, score = -0.00002
sigma = 0.10000, lambda = 1000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 617.07712
sigma = 1.00000, lambda = 0.01000, score = 27.33544
sigma = 1.00000, lambda = 0.10000, score = 0.36663
sigma = 1.00000, lambda = 1.00000, score = -0.56694
sigma = 1.00000, lambda = 10.00000, score = -0.43367
sigma = 1.00000, lambda = 100.00000, score = -0.10910
sigma = 1.00000, lambda = 1000.00000, score = -0.01265
sigma = 1.00000, lambda = 10000.00000, score = -0.00129
sigma = 1.00000, lambda = 100000.00000, score = -0.00013
sigma = 1.00000, lambda = 1000000.00000, score = -0.00001
sigma = 1.00000, lambda = 10000000.00000, score = -0.00000
sigma = 1.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10.00000, lambda = 0.00100, score = 526.79774
sigma = 10.00000, lambda = 0.01000, score = 9.39051
sigma = 10.00000, lambda = 0.10000, score = -0.48477
sigma = 10.00000, lambda = 1.00000, score = -0.50063
sigma = 10.00000, lambda = 10.00000, score = -0.49459
sigma = 10.00000, lambda = 100.00000, score = -0.35759
sigma = 10.00000, lambda = 1000.00000, score = -0.07756
sigma = 10.00000, lambda = 10000.00000, score = -0.00869
sigma = 10.00000, lambda = 100000.00000, score = -0.00088
sigma = 10.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100.00000, lambda = 0.00100, score = -0.47965
sigma = 100.00000, lambda = 0.01000, score = -0.49995
sigma = 100.00000, lambda = 0.10000, score = -0.49994
sigma = 100.00000, lambda = 1.00000, score = -0.49977
sigma = 100.00000, lambda = 10.00000, score = -0.49408
sigma = 100.00000, lambda = 100.00000, score = -0.36016
sigma = 100.00000, lambda = 1000.00000, score = -0.07907
sigma = 100.00000, lambda = 10000.00000, score = -0.00888
sigma = 100.00000, lambda = 100000.00000, score = -0.00090
sigma = 100.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 0.00100, score = -0.49994
sigma = 100000.00000, lambda = 0.01000, score = -0.49994
sigma = 100000.00000, lambda = 0.10000, score = -0.49993
sigma = 100000.00000, lambda = 1.00000, score = -0.49977
sigma = 100000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 0.00100, score = -0.49994
sigma = 100000000.00000, lambda = 0.01000, score = -0.49994
sigma = 100000000.00000, lambda = 0.10000, score = -0.49993
sigma = 100000000.00000, lambda = 1.00000, score = -0.49977
sigma = 100000000.00000, lambda = 10.00000, score = -0.49408
sigma = 100000000.00000, lambda = 100.00000, score = -0.36019
sigma = 100000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 100000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 100000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 100000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000000000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000000000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000000000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000000000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000000000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 1000000000.00000, score = -0.00000
Found optimal sigma = 1.000, lambda = 1.000.
Optimizing theta...
Approximate alpha-relative PE-divergence = 0.27
Approximate alpha-relative KL-divergence = 0.06
RuLSIF completed.
True
0

sigma = 100000.00000, lambda = 100.00000, score = -0.36019
sigma = 100000.00000, lambda = 1000.00000, score = -0.07909
sigma = 100000.00000, lambda = 10000.00000, score = -0.00888
sigma = 100000.00000, lambda = 100000.00000, score = -0.00090
sigma = 100000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000000.00000, lambda = 0.10000, score = -0.49993
